Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Elevation Gained,Elevation Lost,Hill Difficulty,SPI,Description,Tags
17434520,GarminPush,46742|2019-10-01T09:56:47,10.26083,3393230,56:33,10.8860843503093,154,179,92,1/10/19 11:57,1/10/19 9:57,1/10/19 10:56,1/10/19 10:56,False,False,61,56,2,522,,Intervals
17416011,GarminPush,46742|2019-09-29T06:39:14,17.52836,5417722,1:30:17,11.6473484612167,159,172,89,29/09/19 8:39,29/09/19 6:39,29/09/19 8:30,29/09/19 8:30,False,False,88,81,2,600,,
17409546,GarminPush,46742|2019-09-28T07:55:45,8.14972,2753770,45:53,10.6541185356802,147,162,67,28/09/19 9:56,28/09/19 7:56,28/09/19 8:57,28/09/19 8:57,False,False,37,44,2,495,,
17396319,GarminPush,46742|2019-09-26T09:59:54,9.34187,3490728,58:10,9.63430321697938,141,154,86,26/09/19 12:00,26/09/19 10:00,26/09/19 11:01,26/09/19 11:01,False,False,18,16,2,441,,
17387985,GarminPush,46742|2019-09-25T09:59:19,14.30577,4332784,1:12:12,11.8863003556143,165,180,69,25/09/19 11:59,25/09/19 9:59,25/09/19 11:22,25/09/19 11:22,False,False,30,33,2,603,,
17363048,GarminPush,46742|2019-09-22T08:37:48,12.16314,3757694,1:02:37,11.6527061543596,157,171,80,22/09/19 10:38,22/09/19 8:38,22/09/19 9:42,22/09/19 9:42,False,False,53,58,2,579,,
17355588,GarminPush,46742|2019-09-21T07:51:56,10.25991,3225044,53:45,11.4527665358984,155,169,76,21/09/19 9:52,21/09/19 7:52,21/09/19 8:51,21/09/19 8:51,False,False,52,51,2,557,,
17339865,GarminPush,46742|2019-09-19T09:57:35,11.30836,3541502,59:01,11.4951497980236,155,176,56,19/09/19 11:58,19/09/19 9:58,19/09/19 10:59,19/09/19 10:59,False,False,63,59,2,565,,
17326993,GarminPush,46742|2019-09-18T10:28:24,7.51836,2562739,42:42,10.5613938836534,149,161,84,18/09/19 12:28,18/09/19 10:28,18/09/19 11:14,18/09/19 11:14,False,False,30,31,2,485,,
17320129,GarminPush,46742|2019-09-17T09:55:05,11.26541,4269604,1:11:09,9.49865046032372,139,154,88,17/09/19 11:55,17/09/19 9:55,17/09/19 11:09,17/09/19 11:09,False,False,26,25,2,443,,
17299108,GarminPush,46742|2019-09-15T07:15:46,14.38551,4839638,1:20:39,10.700766462285,156,167,111,15/09/19 9:16,15/09/19 7:16,15/09/19 8:50,15/09/19 8:50,False,False,46,50,2,530,,
17284726,GarminPush,46742|2019-09-13T10:01:59,14.17007,4468668,1:14:28,11.4155385900228,160,173,128,13/09/19 12:02,13/09/19 10:02,13/09/19 11:19,13/09/19 11:19,False,False,0,0,0,574,,Bad Elevation
17266434,GarminPush,46742|2019-09-11T10:01:57,14.21707,4431322,1:13:51,11.5499284412191,166,182,132,11/09/19 12:02,11/09/19 10:02,11/09/19 12:06,11/09/19 12:06,False,False,370,367,4,582,,
17239275,GarminPush,46742|2019-09-08T19:00:47,11.01011,3095779,51:35,12.8033674238374,169,182,81,8/09/19 21:01,8/09/19 19:01,8/09/19 20:07,8/09/19 20:07,False,False,330,335,4,643,,
17213161,GarminPush,46742|2019-09-05T06:23:19,13.02925,4059325,1:07:39,11.554950638345,159,176,92,5/09/19 8:23,5/09/19 6:23,28/09/19 15:14,28/09/19 15:14,False,False,189,188,3,577,,
